,ARIMA_mean,ARIMA_lower,ARIMA_upper,LSTM_mean,LSTM_lower,LSTM_upper
2025-07-31,320.85447018327454,307.59998557047396,334.1089547960751,315.03150925957215,298.2001562634898,331.8628622556545
2025-08-01,318.5066851537881,299.8417324112542,337.171637896322,313.42093262824073,296.5895796321584,330.25228562432306
2025-08-04,317.31305862151714,294.33770936360787,340.2884078794264,311.58554745167936,294.75419445559703,328.4169004477617
2025-08-05,316.49083914118165,290.10651808576324,342.87516019660006,309.6324881762557,292.8011351801734,326.46384117233805
2025-08-06,312.95828797139404,283.25950790679565,342.65706803599244,307.6239555702822,290.79260257419986,324.4553085663645
2025-08-07,313.1028573021157,280.524304097468,345.68141050676337,305.60213627472774,288.7707832786454,322.43348927081007
2025-08-08,309.7699498148269,274.35901422187595,345.1808854077778,303.59500521828807,286.76365222220574,320.4263582143704
2025-08-11,309.5377522209228,271.4070856944008,347.66841874744483,301.6203340490524,284.7889810529701,318.45168704513475
2025-08-12,308.55945329346764,267.8765445218262,349.2423620651091,299.6889707604128,282.8576177643305,316.52032375649515
2025-08-13,307.56505250266173,264.2781906255431,350.85191437978034,297.8067177674394,280.9753647713571,314.63807076352174
2025-08-14,309.0896988301985,263.41645883561273,354.7629388247842,295.9759857353304,279.1446327392481,312.80733873141276
2025-08-15,308.3237385366739,260.24099919834424,356.40647787500353,294.19716709795534,277.365814101873,311.0285200940377
2025-08-18,310.7935520240079,260.45570033313976,361.13140371487606,292.46894439875234,275.63759140267,309.3002973948347
2025-08-19,311.47492615043103,258.9867971151281,363.96305518573394,290.7894956233274,273.9581426272451,307.62084861940974
2025-08-20,313.22701608376724,258.6532651768347,367.8007669906998,289.15626995152894,272.3249169554466,305.98762294761127
2025-08-21,315.41884492106607,258.951835367227,371.88585447490516,287.56691278014006,270.7355597840577,304.3982657762224
2025-08-22,315.9445378488561,257.62009051196765,374.26898518574455,286.01887328900915,269.1875202929268,302.8502262850915
2025-08-25,318.3395053801394,258.3318793529811,378.34713140729775,284.50990899888205,267.6785560027997,301.3412619949644
2025-08-26,318.204984539809,256.58283213085974,379.82713694875827,283.03794561644867,266.20659262036634,299.869298612531
2025-08-27,319.2149445585658,256.06727357645957,382.362615540672,281.60107703434295,264.7697240382606,298.4324300304253
2025-08-28,319.0660670164253,254.49568662618896,383.6364474066616,280.19778957906834,263.366436582986,297.0291425751507
2025-08-29,318.11624966257,252.13604364366722,384.0964556814728,278.8264294221749,261.99507642609257,295.6577824182572
2025-09-01,317.9399316201061,250.63982619246678,385.24003704774543,277.48598744799824,260.6546344519159,294.31734044408057
2025-09-02,315.8099662976061,247.17691493794536,384.4430176572668,276.17503407601384,259.3436810799315,293.0063870720962
2025-09-03,315.131902699925,245.19802948788373,385.0657759119662,274.8927283765014,258.06137538041907,291.7240813725837
2025-09-04,313.18464877578424,241.95002642715514,384.41927112441334,273.6381172957779,256.80676429969554,290.4694702918602
2025-09-05,311.8311852656216,239.26661505895808,384.39575547228515,272.4103318731323,255.57897887704996,289.2416848692146
2025-09-08,310.9557624214749,237.07804799563854,384.83347684731126,271.2085872408257,254.37723424474336,288.039940236908
2025-09-09,309.48803625046884,234.24605896070167,384.730013540236,270.0321545931005,253.20080159701814,286.8635075891828
2025-09-10,309.6704488753147,233.07803483342803,386.2628629172014,268.88027709320835,252.04892409712602,285.7116300892907
2025-09-11,309.02536767274364,231.05860893282443,386.99212641266286,267.7522819973731,250.92092900129074,284.5836349934554
2025-09-12,309.72893412005925,230.3865294931402,389.0713387469783,266.64744049983705,249.81608750375472,283.4787934959194
2025-09-15,310.43140621309465,229.73732422994686,391.12548819624243,265.5652480427681,248.73389504668575,282.3966010388504
2025-09-16,311.22881762660916,229.17947301807396,393.27816223514435,264.50486369644585,247.67351070036352,281.3362166925282
2025-09-17,312.93031109248574,229.58036923962123,396.28025294535024,263.4657829030382,246.63442990695586,280.2971358991205
2025-09-18,313.75075155673034,229.11815143289704,398.38335168056363,262.4473889807502,245.61603598466786,279.2787419768325
2025-09-19,315.4907203823516,229.62965639654607,401.3517843681571,261.449149340759,244.61779634467666,278.2805023368413
2025-09-22,316.37000810424166,229.3277667541467,403.41224945433663,260.470419270279,243.6390662741967,277.30177226636135
2025-09-23,317.2789888176911,229.0923355697048,405.46564206567734,259.5106661804874,242.6793131844051,276.34201917656975
2025-09-24,318.02145784204293,228.74990921912914,407.29300646495676,258.56932945157064,241.7379764554883,275.40068244765297
2025-09-25,317.84762946068537,227.5134754725357,408.18178344883506,257.6459045256965,240.81455152961416,274.4772575217788
2025-09-26,318.0300683388812,226.67822838674695,409.3819082910155,256.7399148760235,239.90856187994115,273.5712678721058
2025-09-29,317.1230780325157,224.77044770946256,409.4757083555688,255.8508839757101,239.01953097962777,272.68223697179246
2025-09-30,316.45420416084954,223.11539468853925,409.79301363315983,254.97830726692413,238.1469542708418,271.8096602630065
2025-10-01,315.35760397582675,221.0461680156804,409.6690399359731,254.12165216084273,237.2902991647604,270.9530051569251
2025-10-02,314.02078892078504,218.7249687901348,409.3166090514353,253.28063834755912,236.4492853514768,270.1119913436415
2025-10-03,313.10232480842086,216.82661237228263,409.3780372445591,252.45470520725976,235.62335221117743,269.2860582033421
2025-10-06,311.72679818194337,214.4501317903559,409.00346457353083,251.64354439904722,234.81219140296488,268.4748973951296
2025-10-07,311.1177786228805,212.83112436752504,409.404432878236,250.84667939607996,234.01532639999763,267.6780323921623
2025-10-08,310.3832006357291,211.0729873941877,409.69341387727053,250.06382988845124,233.2324768923689,266.8951828845336
2025-10-09,310.1401282418175,209.78924797788966,410.4910085057453,249.29451934931953,232.4631663532372,266.1258723454019
2025-10-10,310.34671617024446,208.9558545450546,411.73757779543433,248.5384114067967,231.70705841071438,265.36976440287907
2025-10-13,310.56303879828425,208.1213423499927,413.0047352465758,247.79522575097602,230.96387275489369,264.6265787470584
2025-10-14,311.4994671359159,208.01877546941193,414.98015880241985,247.06465404096,230.23330104487766,263.89600703704235
2025-10-15,312.22234998493843,207.71046180914027,416.7342381607366,246.34630384287917,229.51495084679684,263.1776568389615
2025-10-16,313.3805296928323,207.8548432973056,418.906216088359,245.6398668158361,228.80851381975376,262.47121981191844
2025-10-17,314.44420279147323,207.9315197838203,420.95688579912616,244.94509068091466,228.11373768483233,261.776443676997
2025-10-20,315.35447708285585,207.87525531883145,422.8336988468802,244.26163906622676,227.43028607014443,261.0929920623091
2025-10-21,316.35005156594843,207.9387600292041,424.76134310269276,243.58934378582833,226.757990789746,260.4206967819107
2025-10-22,316.7768772761421,207.45645111738514,426.09730343489906,242.92777035936388,226.09641736328155,259.7591233554462
2025-10-23,317.2452056013079,207.04406417391272,427.44634702870303,242.27689075584271,225.44553775976038,259.10824375192504
2025-10-24,317.1694461575614,206.1102415522239,428.22865076289895,241.63624246391868,224.80488946783635,258.467595460001
2025-10-27,316.88211308187647,204.97985207565847,428.78437408809447,241.0056572976477,224.17430430156537,257.83701029373003
2025-10-28,316.389594976571,203.66079531762648,429.11839463551553,240.38493904009505,223.55358604401272,257.2162920361774
2025-10-29,315.49440306563434,201.9414408784615,429.0473652528072,239.77377935036327,222.94242635428094,256.6051323464456
2025-10-30,314.7180330344755,200.34581410872374,429.0902519602273,239.17206610448966,222.34071310840733,256.003419100572
2025-10-31,313.6413044257291,198.44472489666316,428.8378839547951,238.5794629305861,221.74810993450376,255.41081592666842
2025-11-03,312.78232025922426,196.75407504452983,428.8105654739187,237.99592778216655,221.16457478608422,254.82728077824888
2025-11-04,311.9771968164586,195.10980539885634,428.8445882340609,237.4210542098662,220.58970121378388,254.25240720594854
2025-11-05,311.3144526063742,193.59428941700367,429.0346157957447,236.85478615170373,220.0234331556214,253.68613914778606
2025-11-06,311.0429502530911,192.46346197738302,429.62243852879914,236.2969414062397,219.46558841015738,253.12829440232204
2025-11-07,310.8481738593657,191.3988182793536,430.29752943937785,235.74726769455805,218.91591469847572,252.57862069064038
2025-11-10,311.1195934390093,190.79713319592355,431.44205368209504,235.20566690819138,218.37431391210905,252.0370199042737
2025-11-11,311.5074451568034,190.3116656498732,432.7032246637336,234.67190078371894,217.8405477876366,251.50325377980127
2025-11-12,312.15396246592456,190.08750677040518,434.22041816144394,234.14571704222465,217.31436404614232,250.97707003830698
2025-11-13,312.98436297483585,190.05842711712233,435.91029883254936,233.6271857611852,216.79583276510286,250.45853875726752
2025-11-14,313.77071397123365,189.99571245453507,437.5457154879322,233.11598458420778,216.28463158812545,249.9473375802901
2025-11-17,314.69628935181885,190.09034974351385,439.30222896012384,232.61197335633904,215.7806203602567,249.44332635242137
2025-11-18,315.3877826323732,189.96817399881712,440.8073912659293,232.11505396911159,215.28370097302926,248.94640696519392
2025-11-19,316.0270758110723,189.81267158032568,442.2414800418189,231.62508626757204,214.7937332714897,248.45643926365437
2025-11-20,316.42028880390666,189.43071968307365,443.40985792473964,231.14187403478567,214.31052103870334,247.973227030868
2025-11-21,316.5427933700596,188.79316132187267,444.2924254182465,230.6652490848084,213.83389608872608,247.49660208089074
2025-11-24,316.5036813644347,188.00984658278296,444.99751614608647,230.19523944863093,213.3638864525486,247.02659244471326
2025-11-25,316.1146028551666,186.8858739321093,445.3433317782239,229.73156481634646,212.90021182026413,246.5629178124288
2025-11-26,315.63713876492216,185.68108332128497,445.59319420855934,229.27415511047832,212.442802114396,246.10550810656065
2025-11-27,314.933691445359,184.25345244087373,445.61393044984425,228.8228701760731,211.99151717999078,245.65422317215544
2025-11-28,314.17675059750144,182.7709104343952,445.5825907606077,228.37756985817745,211.54621686209512,245.20892285425978
2025-12-01,313.4332282625118,181.2993573350718,445.5670991899518,227.93822612580067,211.10687312971834,244.769579121883
2025-12-02,312.68221805761783,179.8130478500032,445.5513882652325,227.50468480849403,210.6733318124117,244.33603780457636
2025-12-03,312.1426574344203,178.53194157316227,445.75337329567833,227.07673567382747,210.24538267774514,243.9080886699098
2025-12-04,311.6922255226012,177.33193085783128,446.0525201873711,226.654420768287,209.82306777220467,243.48577376436933
2025-12-05,311.50992809189614,176.39325616136654,446.62660002242575,226.2375859214239,209.40623292534156,243.06893891750622
2025-12-08,311.5285719082899,175.65127443918013,447.40586937739965,225.82607696278941,208.99472396670708,242.65742995887175
2025-12-09,311.7439664372964,175.10279623977712,448.3851366348157,225.4198238149069,208.58847081882456,242.25117681098922
2025-12-10,312.20086806727284,174.79766030498396,449.6040758295617,225.01879844678564,208.1874454507033,241.85015144286797
2025-12-11,312.73713049533916,174.57524555767029,450.899015433008,224.6227625950049,207.79140959892257,241.45411559108723
2025-12-12,313.42995836699856,174.51710070872284,452.34281602527426,224.23178633704137,207.40043334095904,241.0631393331237
2025-12-15,314.106153503861,174.45246265065566,453.7598443570663,223.84568747145565,207.01433447537332,240.67704046753798
2025-12-16,314.7633727358171,174.3804718645571,455.1462736070771,223.46436788978036,206.63301489369803,240.2957208858627
2025-12-17,315.3412157408297,174.24308776936314,456.43934371229625,223.08774349904348,206.25639050296115,239.9190964951258
2025-12-18,315.7353627891176,173.93480000094763,457.5359255772875,222.71582831474035,205.88447531865802,239.54718131082268
2025-12-19,316.00209382484485,173.5125087494282,458.4916789002615,222.34842611993622,205.5170731238539,239.17977911601855
2025-12-22,316.0217672359366,172.8542540485443,459.18928042332885,221.98549486814508,205.15414187206275,238.8168478642274
2025-12-23,315.87896294916254,172.04268832425947,459.7152375740656,221.62700652837626,204.79565353229393,238.4583595244586
2025-12-24,315.54537577352033,171.0473390688818,460.04341247815887,221.27277889919034,204.441425903108,238.10413189527267
2025-12-25,315.05551642193484,169.89908332872304,460.21194951514667,220.92285402707336,204.09150103099103,237.7542070231557
2025-12-26,314.49860305276763,168.68543365558688,460.3117724499484,220.57706372608124,203.7457107299989,237.40841672216357
2025-12-29,313.85908715550914,167.38741998024756,460.33075433077073,220.23536594972796,203.40401295364563,237.0667189458103
2025-12-30,313.27217040744154,166.13883568021762,460.4055051346654,219.89773266702284,203.0663796709405,236.72908566310517
2025-12-31,312.7285998836365,164.92889675056583,460.5283030167071,219.56406576949854,202.7327127734162,236.39541876558087
2026-01-01,312.31112735110753,163.8393966159881,460.78285808622695,219.23433722616437,202.40298423008204,236.0656902222467
2026-01-02,312.0557649396747,162.90714182498837,461.20438805436106,218.90837885107626,202.07702585499393,235.7397318471586
2026-01-05,311.95069734852086,162.12042064540216,461.78097405163953,218.5862186752249,201.75486567914257,235.41757167130723
2026-01-06,312.0545428288329,161.54013160148511,462.5689540561807,218.26780063662892,201.4364476405466,235.09915363271125
2026-01-07,312.2960699181709,161.0966385288332,463.49550130750856,217.95301261132562,201.1216596152433,234.78436560740795
2026-01-08,312.69742228585363,160.8145391195484,464.5803054521589,217.641854599315,200.81050160323267,234.47320759539733
2026-01-09,313.1928312230061,160.63070413876054,465.75495830725174,217.334200461139,200.50284746505667,234.16555345722134
2026-01-12,313.7342912477514,160.49884333485466,466.96973916064815,217.03007822778832,200.198725231706,233.86143122387065
2026-01-13,314.2958305310293,160.39540505728542,468.1962560047732,216.72934774430956,199.89799474822723,233.5607007403919
2026-01-14,314.7855596879303,160.22923104211068,469.3418883337499,216.4319669642167,199.60061396813438,233.26331996029904
2026-01-15,315.2040102631153,160.00180877274963,470.406211753481,216.1379499030051,199.30659690692278,232.96930289908744
2026-01-16,315.4784340461839,159.64024472062923,471.3166233717386,215.84715640572136,199.01580340963903,232.6785094018037
2026-01-19,315.60615514066814,159.14096618417517,472.0713440971611,215.55961450335616,198.72826150727383,232.3909674994385
2026-01-20,315.5793331040754,158.4952185737607,472.6634476343901,215.27524010293746,198.44388710685513,232.1065930990198
2026-01-21,315.3846905183144,157.68758597293024,473.08179506369856,214.9939771424839,198.16262414640158,231.82533013856624
2026-01-22,315.0743465978781,156.76860873068955,473.38008446506666,214.71572751352815,197.88437451744582,231.54708050961048
